z	tke_res	tke_sbg	wt_res	wt_sbg	wtke_res	wtke_sbg	temp
-1.150000000000e+02	5.578664713539e-04	6.921822205186e-05	6.609634147026e-05	0.000000000000e+00	-9.459196917305e-06	-5.440935257894e-09	1.739344000816e+00
-1.050000000000e+02	5.610532825813e-04	7.042600191198e-05	7.141994137783e-05	0.000000000000e+00	-9.057000170287e-06	-6.078794800857e-09	1.739331245422e+00
-9.500000000000e+01	5.621383897960e-04	7.163357076934e-05	7.712354999967e-05	0.000000000000e+00	-8.588581295044e-06	-6.003193053772e-09	1.739282488823e+00
-8.500000000000e+01	5.591074004769e-04	7.271971844602e-05	8.294149301946e-05	0.000000000000e+00	-8.035865903366e-06	-6.252475426294e-09	1.739212751389e+00
-7.500000000000e+01	5.521740531549e-04	7.387642835965e-05	8.843169780448e-05	0.000000000000e+00	-7.370627372438e-06	-7.543648372632e-09	1.739131569862e+00
-6.500000000000e+01	5.408563883975e-04	7.523718522862e-05	9.364452853333e-05	0.000000000000e+00	-6.548412784468e-06	-1.036761254625e-08	1.739035129547e+00
-5.500000000000e+01	5.253384588286e-04	7.714750972809e-05	9.830920316745e-05	0.000000000000e+00	-5.553716164286e-06	-1.756575684908e-08	1.738922119141e+00
-4.500000000000e+01	5.063109565526e-04	8.065570727922e-05	1.028590704664e-04	0.000000000000e+00	-4.369381258584e-06	-3.450226060409e-08	1.738757014275e+00
-3.500000000000e+01	4.849091637880e-04	8.782830263954e-05	1.074951505871e-04	0.000000000000e+00	-3.011471108039e-06	-8.310227883612e-08	1.738432526588e+00
-2.500000000000e+01	4.682126746047e-04	1.077418855857e-04	1.131874887506e-04	0.000000000000e+00	-1.577061880198e-06	-2.434308612465e-07	1.737645626068e+00
-1.500000000000e+01	4.728749918286e-04	1.666976022534e-04	1.144843627117e-04	0.000000000000e+00	-4.057983744588e-07	-7.487519724236e-07	1.734522938728e+00
-5.000000000000e+00	5.271972040646e-04	3.116303996649e-04	1.201767008752e-04	0.000000000000e+00	7.802060508766e-08	-5.653207608702e-07	1.724239349365e+00
