z	tke_res	tke_sbg	wt_res	wt_sbg	wtke_res	wtke_sbg	temp	u	wu_sbg	wu_res
-2.850000000000e+02	3.158191393595e-04	4.590119715431e-05	-1.443801102141e-05	0.000000000000e+00	-1.044832742991e-06	-1.650199621395e-08	1.735288858414e+00	2.806901745498e-02	0.000000000000e+00	-2.023202250712e-05
-2.750000000000e+02	3.681383095682e-04	5.021827382734e-05	-1.226812310051e-05	0.000000000000e+00	-1.790916144273e-06	-1.023190954186e-08	1.739630937576e+00	3.035771474242e-02	0.000000000000e+00	-2.226504329883e-05
-2.650000000000e+02	4.056199395563e-04	5.296519157127e-05	-9.423347364645e-06	0.000000000000e+00	-2.659535539351e-06	-6.344909042610e-09	1.742303729057e+00	3.204522281885e-02	0.000000000000e+00	-2.478839087416e-05
-2.550000000000e+02	4.316340782680e-04	5.474431600305e-05	-6.040719199518e-06	0.000000000000e+00	-3.566666464394e-06	-4.446927270862e-09	1.743989706039e+00	3.320712223649e-02	0.000000000000e+00	-2.616854908410e-05
-2.450000000000e+02	4.496697802097e-04	5.606963532045e-05	-2.231471626146e-06	0.000000000000e+00	-4.448194431461e-06	-3.812309135043e-09	1.745102405548e+00	3.393537178636e-02	0.000000000000e+00	-2.727168612182e-05
-2.350000000000e+02	4.642792337108e-04	5.717891326640e-05	1.811076117519e-06	0.000000000000e+00	-5.243314262771e-06	-3.745348475803e-09	1.745889186859e+00	3.439799323678e-02	0.000000000000e+00	-2.832263817254e-05
-2.250000000000e+02	4.779690934811e-04	5.823255560244e-05	6.053116976545e-06	0.000000000000e+00	-5.942398274783e-06	-3.906561740763e-09	1.746469497681e+00	3.476402536035e-02	0.000000000000e+00	-2.931665949291e-05
-2.150000000000e+02	4.891283460893e-04	5.921724368818e-05	1.059993519448e-05	0.000000000000e+00	-6.541608399857e-06	-3.833360295857e-09	1.746902465820e+00	3.502351790667e-02	0.000000000000e+00	-3.006157021446e-05
-2.050000000000e+02	4.992389003746e-04	6.009516800987e-05	1.534077091492e-05	0.000000000000e+00	-7.052286036924e-06	-3.852078656053e-09	1.747243881226e+00	3.524088859558e-02	0.000000000000e+00	-3.079316229559e-05
-1.950000000000e+02	5.098151159473e-04	6.099465099396e-05	2.015078462136e-05	0.000000000000e+00	-7.510031537095e-06	-4.256848651352e-09	1.747524976730e+00	3.536064177752e-02	0.000000000000e+00	-3.134754661005e-05
-1.850000000000e+02	5.208087386563e-04	6.196452159202e-05	2.495023727533e-05	0.000000000000e+00	-7.923194971227e-06	-4.368527317666e-09	1.747753620148e+00	3.544986620545e-02	0.000000000000e+00	-3.192856820533e-05
-1.750000000000e+02	5.315999733284e-04	6.284554547165e-05	2.978770680784e-05	0.000000000000e+00	-8.276731023216e-06	-3.979371498986e-09	1.747940063477e+00	3.542775660753e-02	0.000000000000e+00	-3.257604839746e-05
